랭킹,종목명(ticker),날짜,score,top3 피쳐그룹
2,SK(34730),2023-01-04,0.0680081044477058,"news,technical,value"
3,현대차(5380),2023-01-04,0.0422941282041317,"news,value,technical"
4,Unknown(30000),2023-01-04,0.032784637183881,"technical,other,value"
5,Unknown(36460),2023-01-04,0.0295887316667635,"technical,profitability,other"
6,Unknown(97950),2023-01-04,0.0313410104155422,"technical,other,profitability"
7,현대모비스(12330),2023-01-04,0.0303966516156427,"news,technical,value"
8,태광산업(3240),2023-01-04,0.0340036082986022,"technical,news,profitability"
9,Unknown(32640),2023-01-04,0.031200999008642,"technical,news,profitability"
10,Unknown(1040),2023-01-04,0.0296564183424959,"technical,value,other"
11,Unknown(17670),2023-01-04,0.0306873674682802,"technical,other,profitability"
12,Unknown(28260),2023-01-04,0.0301362904762543,"technical,value,profitability"
13,Unknown(30200),2023-01-04,0.0266453196187297,"news,technical,profitability"
14,Unknown(100),2023-01-04,0.0267656690576293,"technical,other,value"
15,에스디바이오센서(137310),2023-01-04,0.0282896288043742,"profitability,technical,value"
16,두산밥캣(241560),2023-01-04,0.0290964816107201,"technical,other,profitability"
17,Unknown(4370),2023-01-04,0.0269066254215462,"news,technical,other"
18,Unknown(240),2023-01-04,0.024295370535254,"technical,other,value"
19,Unknown(35250),2023-01-04,0.0292415744610477,"technical,other,profitability"
20,Unknown(29780),2023-01-04,0.0247298510024055,"technical,other,profitability"
1,Unknown(15760),2023-01-05,0.0547209316349949,"profitability,technical,value"
2,현대차(5380),2023-01-05,0.0469759974038019,"news,value,technical"
3,SK(34730),2023-01-05,0.060832515946426,"news,technical,value"
4,Unknown(97950),2023-01-05,0.0342765800593783,"technical,other,profitability"
5,Unknown(36460),2023-01-05,0.0297643807903726,"technical,profitability,other"
6,Unknown(30000),2023-01-05,0.0309532628518009,"technical,value,other"
7,Unknown(17670),2023-01-05,0.0344415690839684,"news,technical,other"
8,태광산업(3240),2023-01-05,0.0355889630346307,"technical,profitability,other"
9,Unknown(1040),2023-01-05,0.0312549874962332,"technical,value,other"
10,현대모비스(12330),2023-01-05,0.0305955956283894,"technical,news,value"
11,Unknown(30200),2023-01-05,0.028864027374122,"technical,news,profitability"
12,Unknown(28260),2023-01-05,0.0321034396494145,"news,value,profitability"
13,Unknown(4370),2023-01-05,0.0310272738799511,"technical,news,value"
14,Unknown(240),2023-01-05,0.0284383772951213,"technical,value,other"
15,Unknown(35250),2023-01-05,0.0335225834663172,"news,technical,profitability"
16,Unknown(29780),2023-01-05,0.0296123905775241,"technical,other,profitability"
17,에스디바이오센서(137310),2023-01-05,0.0298473876217891,"profitability,technical,value"
18,두산밥캣(241560),2023-01-05,0.0297258376790675,"technical,profitability,other"
19,Unknown(32640),2023-01-05,0.0285973226236072,"technical,other,profitability"
20,Unknown(100),2023-01-05,0.0247685981844226,"technical,other,value"
1,Unknown(15760),2023-01-06,0.0534615524497634,"profitability,technical,value"
2,SK(34730),2023-01-06,0.0673155958800111,"technical,value,profitability"
3,현대차(5380),2023-01-06,0.0483780306508498,"news,value,technical"
4,태광산업(3240),2023-01-06,0.0379737140161957,"technical,other,profitability"
5,Unknown(30000),2023-01-06,0.0299812537527355,"news,technical,value"
6,Unknown(97950),2023-01-06,0.0296463339205382,"technical,other,profitability"
7,Unknown(17670),2023-01-06,0.0315755682875964,"technical,profitability,other"
8,Unknown(100),2023-01-06,0.0285041380936659,"technical,value,profitability"
9,현대모비스(12330),2023-01-06,0.0290821844628286,"technical,news,other"
10,Unknown(4370),2023-01-06,0.0301058956660053,"technical,value,other"
11,Unknown(28260),2023-01-06,0.0308953737979783,"news,value,profitability"
12,Unknown(36460),2023-01-06,0.02338799375761,"news,technical,profitability"
13,Unknown(32640),2023-01-06,0.0301791159592502,"technical,news,other"
14,Unknown(1040),2023-01-06,0.0282887231652709,"technical,news,value"
15,Unknown(30200),2023-01-06,0.0259834000245365,"technical,news,profitability"
16,두산밥캣(241560),2023-01-06,0.0298713862567672,"technical,other,profitability"
17,에스디바이오센서(137310),2023-01-06,0.0281708135502824,"profitability,technical,other"
18,Unknown(240),2023-01-06,0.0246512643741389,"technical,other,value"
19,Unknown(29780),2023-01-06,0.0252068345011788,"technical,other,profitability"
20,Unknown(35250),2023-01-06,0.0279585031391959,"technical,news,other"
