랭킹,종목명(ticker),날짜,score,top3 피쳐그룹
9,Unknown(17670),2023-01-05,0.0348333411288606,"technical,value,profitability"
10,에스디바이오센서(137310),2023-01-05,0.0300888949847067,"profitability,technical,value"
11,Unknown(32640),2023-01-05,0.0286918559656502,"technical,profitability,value"
12,Unknown(240),2023-01-05,0.0286722643061024,"technical,value,profitability"
13,Unknown(1040),2023-01-05,0.0318563807132207,"value,technical,profitability"
14,현대모비스(12330),2023-01-05,0.0311553895211255,"profitability,value,news"
15,Unknown(30200),2023-01-05,0.0291249738120655,"esg,technical,news"
16,Unknown(97950),2023-01-05,0.035073886638587,"technical,value,profitability"
17,Unknown(30000),2023-01-05,0.0314936237292011,"technical,value,profitability"
18,Unknown(100),2023-01-05,0.0255990274555015,"technical,value,profitability"
19,Unknown(36460),2023-01-05,0.0298700852155759,"value,profitability,technical"
20,Unknown(15760),2023-01-05,0.0743710459234514,"profitability,value,technical"
1,SK(34730),2023-01-06,0.0691894831300646,"value,technical,profitability"
2,현대차(5380),2023-01-06,0.0493006482539288,"value,esg,technical"
3,태광산업(3240),2023-01-06,0.0388092080815386,"technical,value,profitability"
4,두산밥캣(241560),2023-01-06,0.030385072207504,"technical,profitability,value"
5,Unknown(32640),2023-01-06,0.0307733279847163,"technical,profitability,news"
6,Unknown(35250),2023-01-06,0.0273590718928739,"esg,technical,value"
7,Unknown(4370),2023-01-06,0.0307079236984153,"value,technical,profitability"
8,Unknown(28260),2023-01-06,0.0315259962265822,"news,profitability,esg"
9,에스디바이오센서(137310),2023-01-06,0.0285223738471146,"profitability,technical,value"
10,Unknown(17670),2023-01-06,0.0326928720672731,"technical,value,profitability"
11,Unknown(100),2023-01-06,0.0290939703510959,"technical,value,profitability"
12,현대모비스(12330),2023-01-06,0.0302252283083017,"technical,profitability,esg"
13,Unknown(29780),2023-01-06,0.0250846239736562,"technical,profitability,value"
14,Unknown(30000),2023-01-06,0.0311261663343179,"esg,technical,value"
15,Unknown(1040),2023-01-06,0.0297294156958653,"esg,value,technical"
16,Unknown(30200),2023-01-06,0.0270696379777767,"esg,technical,news"
17,Unknown(240),2023-01-06,0.0255417468431478,"technical,value,profitability"
18,Unknown(97950),2023-01-06,0.0324917215657034,"technical,value,profitability"
19,Unknown(36460),2023-01-06,0.0271331028841003,"value,profitability,esg"
20,Unknown(15760),2023-01-06,0.0743560342375695,"profitability,value,technical"
