ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
9,5490,2024-05-22,0.05674504,0.03430629412623717,0.045525667063118586,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,15760,2024-05-22,0.035218146,0.052542243483283006,0.0438801947416415,value,technical,news,"turnover, net_income, roe","volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,285130,2024-05-22,0.047461472,0.04347253176253675,0.04546700188126837,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
12,33780,2024-05-22,0.04938272,0.03275819486771614,0.041070457433858065,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
13,51910,2024-05-22,0.04139043,0.02738492159023303,0.034387675795116514,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
14,373220,2024-05-22,0.037510067,0.025663034030417704,0.03158655051520885,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,96770,2024-05-22,0.03573011,0.03434534086152777,0.03503772543076389,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,17670,2024-05-22,0.038957253,0.03359955984423718,0.03627840642211859,technical,news,esg,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","esg_score, environmental_score, social_score"
17,1740,2024-05-22,0.05128739,0.022086455989252612,0.03668692299462631,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,4020,2024-05-22,0.044704635,0.027791822479044832,0.036248228739522416,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
19,35420,2024-05-22,0.045192733,0.027339368674514065,0.036266050837257036,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
20,32350,2024-05-22,0.010269769,0.05624550377064906,0.03325763638532453,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,55550,2024-06-20,0.027831651,0.21033754786159375,0.11908459943079688,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,105560,2024-06-20,0.0038313144,0.2309817534474061,0.11740653392370305,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
3,316140,2024-06-20,0.041857798,0.17015746019806546,0.10600762909903273,technical,news,esg,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","esg_score, environmental_score, social_score"
4,86790,2024-06-20,0.014639096,0.22917992562165715,0.12190951081082857,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
5,24110,2024-06-20,0.035210557,0.18306155703677998,0.10913605701838999,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,32830,2024-06-20,0.0062378407,0.11878378660187378,0.06251081365093689,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,5380,2024-06-20,0.008080399,0.10488245859740636,0.05648142879870318,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,5490,2024-06-20,0.06560075,0.03216145926240723,0.04888110463120361,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,670,2024-06-20,0.051985018,0.0,0.025992509,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
10,880,2024-06-20,0.014321912,0.08528805956280043,0.04980498578140022,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
11,138930,2024-06-20,0.03660754,0.05247234443029819,0.04453994221514909,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe"
12,15760,2024-06-20,0.028251464,0.05685076482434898,0.04255111441217449,technical,news,esg,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","esg_score, environmental_score, social_score"
13,23530,2024-06-20,0.0426555,0.043286746873272254,0.04297112343663613,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
14,4020,2024-06-20,0.051943075,0.023655954792831172,0.03779951489641559,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
