ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
14,137310,2023-01-31,0.029121257990098383,0.03165074,0.03038599899504919,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,35250,2023-01-31,0.024744522030715827,0.03674238,0.030743451015357914,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,36460,2023-01-31,0.039154725206495315,0.018176904,0.028665814603247658,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
17,30200,2023-01-31,0.03216461803656119,0.025309732,0.028737175018280596,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,100,2023-01-31,0.034998996756551395,0.026518198,0.030758597378275698,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
19,29780,2023-01-31,0.027144824436636777,0.030980378,0.029062601218318388,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,240,2023-01-31,0.03175442911653638,0.026285248,0.029019838558268188,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2023-02-28,0.005813726453167182,0.15914978,0.08248175322658359,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,15760,2023-02-28,0.1976677451791087,-0.005833583,0.09591708108955435,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
3,34730,2023-02-28,0.06232547024656703,0.07192053,0.06712300012328351,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
4,5380,2023-02-28,0.04223950757910938,0.052282102,0.04726080478955469,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,30200,2023-02-28,0.04687713287580589,0.03543936,0.041158246437902946,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,35250,2023-02-28,0.048478665208493546,0.03262055,0.04054960760424677,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
7,28260,2023-02-28,0.041390350557700885,0.034925748,0.03815804927885044,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,9240,2023-02-28,0.03768088226314594,0.038199764,0.03794032313157297,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,1440,2023-02-28,0.03398930838349689,0.028782267,0.03138578769174845,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,69620,2023-02-28,0.044996249598172326,0.023060316,0.034028282799086165,value,technical,news,"turnover, net_income, roe","volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,375500,2023-02-28,0.03994001769708668,0.032215618,0.036077817848543345,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,880,2023-02-28,0.030267258541165753,0.03910599,0.034686624270582875,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,78930,2023-02-28,0.03862045082989556,0.034765467,0.03669295891494778,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
14,80,2023-02-28,0.04040360278216373,0.031487487,0.03594554489108187,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,3090,2023-02-28,0.03863950369376871,0.026981061,0.03281028234688435,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,96770,2023-02-28,0.038706836867502294,0.028610473,0.03365865493375115,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
17,326030,2023-02-28,0.03563963391023422,0.03506608,0.03535285695511711,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,69960,2023-02-28,0.035051288908997336,0.027315248,0.031183268454498668,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
19,30000,2023-02-28,0.04407575539020458,0.026484994,0.03528037469510229,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,6280,2023-02-28,0.033336421473686255,0.031055236,0.032195828736843124,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2023-03-29,0.00810644317725381,0.18989158,0.09899901158862691,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,34730,2023-03-29,0.06420109002597664,0.07035824,0.06727966501298832,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,15760,2023-03-29,0.12553846966726614,-0.016495273,0.05452159833363307,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
4,5380,2023-03-29,0.04599852173738946,0.052549504,0.04927401286869473,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,326030,2023-03-29,0.028899092577886882,0.047200285,0.038049688788943443,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,69620,2023-03-29,0.03201765303528962,0.037304714,0.034661183517644814,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,880,2023-03-29,0.02754055142580021,0.044385627,0.035963089212900104,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,3090,2023-03-29,0.03953081344563054,0.031019906,0.03527535972281527,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
9,4990,2023-03-29,0.0394457132739024,0.028461756,0.0339537346369512,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,241590,2023-03-29,0.03532877653339282,0.0,0.01766438826669641,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,210,2023-03-29,0.03934890293864671,0.025896847,0.032622874969323354,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,2380,2023-03-29,0.044247865311297076,0.02554644,0.034897152655648536,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,240,2023-03-29,0.04134816260078732,0.022535743,0.03194195280039366,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,280360,2023-03-29,0.03494308365407321,0.02336275,0.029152916827036607,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,23530,2023-03-29,0.04474972066206895,0.017040364,0.030895042331034475,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,3240,2023-03-29,0.028029264056363048,0.028842477,0.02843587052818152,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
17,71050,2023-03-29,0.040473993379242526,0.021445049,0.030959521189621263,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,139480,2023-03-29,0.025436770512333996,0.032368116,0.028902443256166997,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
19,11200,2023-03-29,0.0043151330084713726,0.053944938,0.029130035504235686,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
20,80,2023-03-29,0.03248714817354341,0.022045162,0.027266155086771705,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2023-04-26,0.03350225519785949,0.2240642,0.12878322759892974,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,34730,2023-04-26,0.05897612990075386,0.06991,0.06444306495037694,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,15760,2023-04-26,0.11263777104667867,-0.020647803,0.04599498402333933,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
4,28260,2023-04-26,0.03889371877084322,0.050612587,0.044753152885421615,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,241590,2023-04-26,0.03336702317871685,0.0,0.016683511589358425,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,69960,2023-04-26,0.038974279971822345,0.030420901,0.03469759048591117,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
7,210,2023-04-26,0.036531840709346945,0.029993957,0.03326289885467347,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,17670,2023-04-26,0.03205836800031389,0.03529723,0.033677799000156945,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,97950,2023-04-26,0.03785592333081321,0.032632567,0.035244245165406606,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,31430,2023-04-26,0.04194533377954846,0.02311931,0.03253232188977423,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
11,29780,2023-04-26,0.02221289200778124,0.039629728,0.03092131000389062,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
12,1040,2023-04-26,0.04404894798893308,0.014367254,0.029208100994466538,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
13,4990,2023-04-26,0.0324449058913124,0.030828224,0.0316365649456562,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,35250,2023-04-26,0.03020289697714118,0.024948696,0.02757579648857059,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,120,2023-04-26,0.03213993891147594,0.028794091,0.030467014955737972,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
16,139480,2023-04-26,0.02706097909459519,0.027341098,0.027201038547297596,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
17,26960,2023-04-26,0.027458915038269457,0.03093763,0.02919827251913473,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,3490,2023-04-26,0.02504937208119225,0.029505188,0.027277280040596125,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
19,36460,2023-04-26,0.03293200265009678,0.020937234,0.026934618325048388,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,32350,2023-04-26,0.03740616885648794,0.016721135,0.02706365192824397,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5380,2023-05-26,0.050622754735885844,0.0956369,0.07312982736794292,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,5930,2023-05-26,-0.03417532455875877,0.13122594,0.04852530772062062,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,139480,2023-05-26,0.047964398701301175,0.032083407,0.04002390285065059,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
4,15760,2023-05-26,0.11818892685278042,-0.026371555,0.045908685926390205,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,34730,2023-05-26,0.03786007297135749,0.052367233,0.045113652985678744,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
6,3240,2023-05-26,0.044356284206504754,0.034799397,0.03957784060325238,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,11200,2023-05-26,0.02209970832642512,0.049249,0.03567435416321256,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,210,2023-05-26,0.040880870923459316,0.026911126,0.03389599846172966,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,30200,2023-05-26,0.00929566630473179,0.06183964,0.035567653152365895,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,10130,2023-05-26,0.041625487199220115,0.029761171,0.03569332909961006,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,3490,2023-05-26,0.029881419165906233,0.038001522,0.03394147058295312,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,9830,2023-05-26,0.03542685727720398,0.02038867,0.027907763638601993,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,267250,2023-05-26,0.030130574157933753,0.036888577,0.033509575578966874,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,79550,2023-05-26,0.041192026284226475,0.020445332,0.03081867914211324,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,251270,2023-05-26,0.04422075381145964,0.019622192,0.03192147290572982,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
16,35250,2023-05-26,0.03450923277750133,0.028979996,0.03174461438875066,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
17,36460,2023-05-26,0.03901120295281486,0.023851179,0.031431190976407425,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,31430,2023-05-26,0.03266829574904518,0.02334772,0.028008007874522588,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
19,30000,2023-05-26,0.03493600045300782,0.022506092,0.02872104622650391,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,78930,2023-05-26,0.023612853402456693,0.035961673,0.029787263201228348,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2023-06-27,0.03299535116681902,0.19477525,0.11388530058340951,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,34730,2023-06-27,0.08467825578528589,0.07395943,0.07931884289264295,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,5380,2023-06-27,0.045803214560894645,0.0487585,0.04728085728044733,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
4,97950,2023-06-27,0.04558459561735819,0.04112899,0.043356792808679094,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,23530,2023-06-27,0.0510438994985301,0.029958997,0.04050144824926505,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,4990,2023-06-27,0.038712624814153995,0.038107958,0.038410291407076996,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,28260,2023-06-27,0.04839700116796339,0.03693777,0.0426673855839817,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,4170,2023-06-27,0.04719042943580832,0.03262772,0.039909074717904156,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,78930,2023-06-27,0.04303529755504977,0.039761923,0.04139861027752488,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,139480,2023-06-27,0.04214632778935629,0.033911075,0.03802870139467815,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,30200,2023-06-27,0.03251405422054075,0.037166823,0.03484043861027038,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,284740,2023-06-27,0.03582636733319342,0.0,0.01791318366659671,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
13,3090,2023-06-27,0.05108800383722764,0.028986067,0.04003703541861382,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,90430,2023-06-27,0.03501703526841643,0.036276557,0.035646796134208215,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
15,120,2023-06-27,0.03765723936485636,0.028951943,0.03330459118242818,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,69620,2023-06-27,0.045389642127289825,0.026514523,0.03595208256364491,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
17,39130,2023-06-27,0.036074314218856075,0.03645863,0.03626647210942804,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
18,1040,2023-06-27,0.047597771578096144,0.021408739,0.034503255289048074,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
19,35250,2023-06-27,0.03238004983657393,0.02884762,0.030613834918286967,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,7310,2023-06-27,0.036413750665876994,0.027118113,0.03176593183293849,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2023-07-25,0.03564850017325081,0.18007387,0.1078611850866254,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
2,34730,2023-07-25,0.06821838498898192,0.069769874,0.06899412949449096,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,5380,2023-07-25,0.0648986859057248,0.0738813,0.0693899929528624,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
4,24110,2023-07-25,0.028632170788796454,0.10216134,0.06539675539439822,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
5,15760,2023-07-25,0.11840927980346737,-0.043588698,0.03741029090173369,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,6360,2023-07-25,0.047305408790030035,0.034228932,0.04076717039501501,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,35250,2023-07-25,0.046451274687681406,0.03158327,0.0390172723438407,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,210,2023-07-25,0.04636791790522027,0.027666707,0.037017312452610134,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,13890,2023-07-25,0.037500195436646254,0.0,0.018750097718323127,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,20000,2023-07-25,0.03253006483051124,0.0,0.01626503241525562,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
11,280360,2023-07-25,0.046103812115812805,0.03163218,0.038867996057906404,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
12,294870,2023-07-25,0.03474226447241785,0.0,0.017371132236208925,value,technical,news,"turnover, net_income, roe","volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,3240,2023-07-25,0.03621809916814081,0.0,0.018109049584070405,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,7070,2023-07-25,0.04817920390883721,0.024083495,0.03613134945441861,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
