neutral_band,exposure_bull,exposure_bear,top_k_bull,top_k_neutral,top_k_bear,buffer_k,stability_threshold,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_profit_factor,dev_net_sharpe,dev_net_cagr,dev_net_mdd,objective
0.05,1.8,0.7,12,15,30,10,0.7,0.41415237728859894,0.053934644769821016,-0.09541855088523954,0.5652427569843157,0.15217391304347827,1.405574756151747,0.11862699845431605,0.005068552068296928,-0.374979824508876,42.493930624256315
0.05,1.8,0.7,12,15,30,10,0.85,0.41415237728859894,0.053934644769821016,-0.09541855088523954,0.5652427569843157,0.15217391304347827,1.405574756151747,0.11862699845431605,0.005068552068296928,-0.374979824508876,42.493930624256315
0.05,1.5,0.7,10,15,30,10,0.7,0.41008064904455777,0.05335581517256238,-0.10057675370033425,0.5304984820998956,0.1753623188405797,1.4061873986719684,0.1034772093371134,0.0030008238379930496,-0.37281076799491675,41.95983046784018
0.05,1.5,0.7,10,15,30,10,0.85,0.41008064904455777,0.05335581517256238,-0.10057675370033425,0.5304984820998956,0.1753623188405797,1.4061873986719684,0.1034772093371134,0.0030008238379930496,-0.37281076799491675,41.95983046784018
0.05,1.5,0.8,10,15,20,10,0.7,0.41787933891165396,0.05547976108115549,-0.10539177469424266,0.526414525631726,0.1318840579710145,1.4025602516371716,0.109201197092378,0.0036508776706634105,-0.38731907306103885,41.81917417393998
0.05,1.5,0.8,10,15,20,10,0.85,0.41787933891165396,0.05547976108115549,-0.10539177469424266,0.526414525631726,0.1318840579710145,1.4025602516371716,0.109201197092378,0.0036508776706634105,-0.38731907306103885,41.81917417393998
0.05,1.5,0.7,12,15,20,10,0.7,0.40814660672525316,0.04930420832394233,-0.09118750896647987,0.5406903739641177,0.10869565217391303,1.3706912800894657,0.10177616007665882,0.0030997128165120014,-0.35812144090036724,41.80074483900416
0.05,1.5,0.7,12,15,20,10,0.85,0.40814660672525316,0.04930420832394233,-0.09118750896647987,0.5406903739641177,0.10869565217391303,1.3706912800894657,0.10177616007665882,0.0030997128165120014,-0.35812144090036724,41.80074483900416
0.05,1.2,0.7,12,15,20,10,0.7,0.4087428667218436,0.0455449613121961,-0.08308318299026196,0.5481850799762251,0.10869565217391303,1.3570567893643293,0.10238694141643619,0.003981131744462019,-0.3422392109850214,41.78518589842828
0.05,1.2,0.7,12,15,20,10,0.85,0.4087428667218436,0.0455449613121961,-0.08308318299026196,0.5481850799762251,0.10869565217391303,1.3570567893643293,0.10238694141643619,0.003981131744462019,-0.3422392109850214,41.78518589842828
0.05,1.2,0.7,10,15,20,10,0.7,0.40672011613351206,0.04838340674845143,-0.09331264274580531,0.5185085892407266,0.1318840579710145,1.3701281482838614,0.08521200281064208,0.0010859527476807518,-0.3548624155020593,41.63967974832023
