model,phase,metric,before,after,change,change_pct,improvement
bt120_ens,holdout,net_hit_ratio,0.6666666666666666,0.6111111111111112,-0.05555555555555547,-8.33333333333332,False
bt120_ens,holdout,net_profit_factor,3.0021695192413,2.664486509903192,-0.33768300933810824,-11.247966084987985,False
bt120_ens,holdout,avg_turnover_oneway,0.3277777777777777,0.4111111111111111,0.08333333333333337,25.423728813559336,True
bt120_ens,holdout,avg_trade_duration,39.52941176470589,46.37692307692308,6.847511312217186,17.322573260073234,True
bt120_long,dev,net_sharpe,0.023678465794335,0.023678465794335,0.0,0.0,False
bt120_long,dev,net_cagr,-0.1153318073506814,-0.1153318073506814,0.0,0.0,False
bt120_long,dev,net_mdd,-0.9343165254523488,-0.9343165254523488,0.0,0.0,False
bt120_long,dev,net_calmar_ratio,-0.1234397596626514,-0.1234397596626514,0.0,0.0,False
bt120_long,dev,net_total_return,-0.5069975969461813,-0.5069975969461813,0.0,0.0,False
bt120_long,dev,net_hit_ratio,0.3472222222222222,0.3472222222222222,0.0,0.0,False
bt120_long,dev,net_profit_factor,1.0445676315486976,1.0445676315486976,0.0,0.0,False
bt120_long,dev,avg_turnover_oneway,0.3828703703703703,0.3828703703703703,0.0,0.0,False
bt120_long,dev,avg_trade_duration,46.05528255528255,46.05528255528255,0.0,0.0,False
bt120_long,holdout,net_sharpe,0.5692179424155812,0.5692179424155812,0.0,0.0,False
bt120_long,holdout,net_cagr,0.4029682352628447,0.4029682352628447,0.0,0.0,False
bt120_long,holdout,net_mdd,-0.1635147002845204,-0.1635147002845204,0.0,0.0,False
bt120_long,holdout,net_calmar_ratio,2.464415948912655,2.464415948912655,0.0,0.0,False
bt120_long,holdout,net_total_return,0.5985016543274428,0.5985016543274428,0.0,0.0,False
bt120_long,holdout,net_hit_ratio,0.6666666666666666,0.6666666666666666,0.0,0.0,False
bt120_long,holdout,net_profit_factor,3.0021695192413,3.0021695192413,0.0,0.0,False
bt120_long,holdout,avg_turnover_oneway,0.3277777777777777,0.3277777777777777,0.0,0.0,False
bt120_long,holdout,avg_trade_duration,39.52941176470589,39.52941176470589,0.0,0.0,False
