strategy,neutral_band,top_k_bear,exposure_bear,risk_bear_mult,obj,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_avg_cost_pct,dev_net_sharpe,dev_net_mdd
bt20_ens,0.05,30,0.8,0.8,-0.057528589533698146,0.0872490910776323,0.003891635293985285,-0.07652733024763958,0.050852881988592814,0.11561770922518218,0.007733636379380018,0.22440082247098367,-0.3404836547283546
bt20_ens,0.0,30,1.0,0.9,-0.062075414499285775,0.21433402862323583,0.019014407050692794,-0.06934002060335809,0.2742198067615218,0.21930691046444678,0.015305328579149485,0.304427989697967,-0.3548311922332722
bt20_ens,0.05,30,0.7,0.9,-0.06403571572960866,0.0837261851344132,0.0034920363174753,-0.07648050476266577,0.04565916933095282,0.11561770922518218,0.007705531457729288,0.2225719229130621,-0.3390841666445279
bt20_ens,0.0,20,1.0,0.9,-0.08123456074024994,0.08857997621415978,0.0040259334493710774,-0.07976583301206186,0.050471903788208324,0.12189815830611724,0.00881896356842416,0.2984046968572069,-0.38007101907643115
bt20_ens,0.02,20,0.7,0.7,-0.08326917193190758,0.028479982862348797,-0.0024017210095287345,-0.078676453628307,-0.03052655399130267,0.07542193128016839,0.005207271659529515,0.2411162270570875,-0.32283632668126727
bt20_ens,0.02,30,0.8,0.9,-0.10786685082606236,0.06415823797194614,0.0012413974001850292,-0.07690193412743085,0.016142603099266184,0.1155539882071701,0.007954015281324998,0.280581048309707,-0.3351269127496651
bt20_ens,0.05,30,0.7,0.8,-0.11040998003965243,0.0586536530625447,0.000690033920406119,-0.07615272636784842,0.009061184718101575,0.11561770922518218,0.0075087970061741924,0.2086591107882019,-0.32941627150739616
bt20_ens,0.05,30,0.8,0.7,-0.11040998003965243,0.0586536530625447,0.000690033920406119,-0.07615272636784842,0.009061184718101575,0.11561770922518218,0.0075087970061741924,0.2086591107882019,-0.32941627150739616
bt20_ens,0.02,30,1.0,0.7,-0.12744744794964352,0.05382925371962797,8.54074848002373e-05,-0.076808283157483,0.0011119566964558109,0.1155539882071701,0.007897805438023542,0.2798629372975048,-0.3326160125202213
bt20_ens,0.05,30,0.7,0.7,-0.1581294997731379,0.03290849327895528,-0.002120428415260167,-0.07582494797303119,-0.02796478562720998,0.11561770922518218,0.007312062554619094,0.1926371637390462,-0.31997209341392774
bt20_ens,0.0,30,1.0,0.8,-0.18529983417515694,0.14600711270550612,0.010650723997593259,-0.06826568226632379,0.15601871458695402,0.21930691046444678,0.014606999512744214,0.313462156233811,-0.3398629662714764
bt20_ens,0.02,30,0.8,0.8,-0.18744232735210092,0.022215756946816437,-0.0033838036181345066,-0.07652733024763958,-0.04421693017624742,0.1155539882071701,0.007729175908119173,0.2767056146332564,-0.32522649461725295
bt20_ens,0.02,30,0.7,0.9,-0.1976191414704827,0.016858007042361706,-0.003962187134709971,-0.07648050476266577,-0.05180649823122149,0.1155539882071701,0.007701070986468444,0.2758774609030147,-0.32401570316979045
bt20_ens,0.0,20,1.0,0.8,-0.19768252054367041,0.02726041463134245,-0.00283312792623569,-0.0775049026945891,-0.03655417693251915,0.12189815830611724,0.00845288214237663,0.3127691133323374,-0.3630714706802276
bt20_ens,0.02,30,0.7,0.8,-0.27020380432089575,-0.021319724299691475,-0.008012333062719312,-0.07615272636784842,-0.1052140014530341,0.1155539882071701,0.007504336534913347,0.269155513262201,-0.31570544728197336
bt20_ens,0.02,30,0.8,0.7,-0.27020380432089575,-0.021319724299691475,-0.008012333062719312,-0.07615272636784842,-0.1052140014530341,0.1155539882071701,0.007504336534913347,0.269155513262201,-0.31570544728197336
bt20_ens,0.0,30,0.8,0.9,-0.2923231517368785,0.08712379900186616,0.003970280302911355,-0.06740577183247165,0.058901191915418975,0.21930691046444678,0.014048336259619995,0.32238954849444557,-0.32828076919999805
bt20_ens,0.0,20,0.8,0.9,-0.297950722520698,-0.02534980086117382,-0.008323939184205376,-0.07569475507707812,-0.10996718564885125,0.12189815830611724,0.008160017001538606,0.3246676084593223,-0.34970301165446593
